favorite_color,excitement,seat_comfort,ucsd_year,ucsd_major,credits,hr_physical,hr_online,hr_reading,sex
"r:255, g:132 b:12",Super stoked,Meh,2,Engineering,12,1,2,2,M
Black,Slightly excited,Pretty good,2,Data Science,16,0,2,1,M
Blue with a hint of magenta,Slightly excited,Meh,3,Data Science,16,1,0.5,3,F
Sky Blue,Super stoked,Meh,4,Data Science,16,0.5,0.5,2,F
Purple,Slightly excited,Meh,3,Engineering,19,0.5,0,4,F
Red,Slightly excited,Meh,2,Data Science,16,0,2,5,F
green,Not at all excited,Meh,3,Engineering,16,0.5,2,8,M
Blue,Very excited,Awful,1,Engineering,12,0,0,6,M
Green,Slightly excited,Meh,4,Data Science,12,2,1.5,4,M
black,Slightly excited,Meh,2,Engineering,12,0,1,3,M
Red,Very excited,Meh,3,Data Science,16,0,3,2,M
Sky Blue,Slightly excited,Meh,1,Engineering,14,3,2,4,M
White,Slightly excited,Pretty good,3,Health Sciences,16,1,1,2,F
Blue,Super stoked,Pretty good,1,Data Science,16,2,1,3,M
Green,Super stoked,Meh,3,Engineering,12,1,2,3,M
Blue,Slightly excited,Meh,3,Data Science,12,1,3,3,M
Black,Very excited,Meh,3,Health Sciences,16,3,1,4,M
Blue,Slightly excited,Meh,2,Data Science,17,1,1,3,F
Blue,Slightly excited,Meh,3,Engineering,12,0,1,3,M
red,Slightly excited,Meh,2,Data Science,15,2,3,2,M
Green,Very excited,Meh,>4,Engineering,16,3,1,0,M
Blue,Slightly excited,Pretty good,1,Data Science,16,2,1,2,M
pink,Slightly excited,Meh,3,Data Science,12,2,2,2,F
Blue,Very excited,Meh,4,Engineering,20,5,1,1,M
Blue,Slightly excited,Meh,2,Engineering,22,0,0,10,M
Green,Very excited,Meh,2,Physical Sciences,16,1,0.5,1,M
Red,Very excited,Meh,2,Engineering,18,0,30,2,M
green,Slightly excited,Bad,2,Data Science,20,1,2.5,4,M
Purple,Very excited,Meh,2,Data Science,16,2,3,1,M
Purple,Very excited,Bad,2,Data Science,18,0.5,0.5,3,F
black,Slightly excited,Bad,1,Data Science,16,0,1,1,M
Blue,Slightly excited,Pretty good,2,Data Science,14,0,1.3,1.5,M
green,Very excited,Awful,4,Social Sciences,16,1,1,3,M
Blue,Very excited,Bad,4,Engineering,12,0,1,8.5,M
Green,Slightly excited,Meh,1,Engineering,14,0.5,1,3,F
Blue,Not at all excited,Meh,2,Engineering,18,0,1,2,F
red,Slightly excited,Meh,4,Physical Sciences,16,0,2,6,M
green,Slightly excited,Meh,2,Engineering,16,0,1.5,2,M
Blue,Very excited,Meh,3,Physical Sciences,22,0,1.5,5,F
green,Not at all excited,Pretty good,>4,Engineering,24,0,2,5,F
Green,Very excited,Pretty good,2,Data Science,18,0,2,2,F
Grey,Very excited,Meh,2,Engineering,16,4,2,3,M
Blue,Not at all excited,Meh,3,Data Science,12,0,3,4,M
Purple,Slightly excited,Meh,3,Physical Sciences,16,2,0,6,M
Pink,Very excited,Meh,3,Engineering,14,3,1,1,F
Green,Slightly excited,Meh,2,Data Science,16,1,1,3,F
Blue,Very excited,Meh,1,Engineering,20,0,2,6,F
purple,Slightly excited,Bad,2,Biological Sciences,20,0,0.5,7,F
Blue,Very excited,Pretty good,2,Data Science,16,1,2,1,M
Blue,Very excited,Meh,3,Engineering,14,1,1,2,M
Blue,Very excited,Pretty good,3,Engineering,20,2,1,2,M
purple,Slightly excited,Meh,4,Engineering,13,8,10,10,F
Purple,Slightly excited,Meh,3,Data Science,16,1,1,5,F
Green,Slightly excited,Bad,2,Engineering,16,0,10,15,M
Blue,Slightly excited,Meh,3,Engineering,14,0.5,1,2,M
Orange,Super stoked,Awful,2,Engineering,26,1,2,2,M
pink,Very excited,Meh,2,Engineering,16,0,0,4,F
Blue,Super stoked,Meh,3,Engineering,12,3,2,2,M
Black,Not at all excited,Meh,3,Data Science,16,0.5,1,5,M
Blue,Slightly excited,Meh,2,Engineering,16,2,3,5,M
